 
Status=Not/Inst/Conf-files/Unpacked/halF-conf/Half-inst/trig-aWait/Trig-pend 
Err?=(none)/Reinst-required (Status,Err:
geoipupdate 4.10.0-1
getallurls 1.0.7-0kali1
gettext-base 0.21-10
ghostscript 10.0.0~dfsg-11
gimp 2.10.34-1
gimp-data 2.10.34-1
gir1.2-atk-1.0:amd64 2.46.0-4
gir1.2-atspi-2.0:amd64 2.44.1-1
gir1.2-ayatanaappindicator3-0.1 0.5.91-1
gir1.2-freedesktop:amd64 1.74.0-2
gir1.2-gdesktopenums-3.0:amd64 43.0-1
gir1.2-gdkpixbuf-2.0:amd64 2.42.10+dfsg-1+b1
gir1.2-glib-2.0:amd64 1.74.0-2
gir1.2-gnomedesktop-3.0:amd64 43.2-2
gir1.2-gst-plugins-base-1.0:amd64 1.22.0-3
gir1.2-gstreamer-1.0:amd64 1.22.0-2
gir1.2-gtk-3.0:amd64 3.24.36-1
gir1.2-gtksource-3.0:amd64 3.24.11-2+b1
gir1.2-gtkspell3-3.0:amd64 3.0.10-1
gir1.2-handy-1:amd64 1.8.0-1
gir1.2-harfbuzz-0.0:amd64 6.0.0-1
gir1.2-javascriptcoregtk-4.0:amd64 2.36.4-1
gir1.2-nm-1.0:amd64 1.40.10-1
gir1.2-notify-0.7:amd64 0.8.1-1
gir1.2-packagekitglib-1.0 1.2.6-2
gir1.2-pango-1.0:amd64 1.50.12+ds-1
gir1.2-polkit-1.0 0.105-33+kali1
gir1.2-secret-1:amd64 0.20.5-3
gir1.2-soup-2.4:amd64 2.74.3-1
gir1.2-soup-3.0:amd64 3.2.2-2
gir1.2-totemplparser-1.0:amd64 3.26.6-1+b1
gir1.2-vte-2.91:amd64 0.68.0-1+b1
gir1.2-webkit2-4.0:amd64 2.36.4-1
gir1.2-wnck-3.0:amd64 43.0-3
gir1.2-xfconf-0:amd64 4.18.0-1
git 1:2.39.0-1
git-man 1:2.39.0-1
gitleaks 8.2.7-0kali1
glib-networking:amd64 2.74.0-2
glib-networking-common 2.74.0-2
glib-networking-services 2.74.0-2
glx-alternative-mesa 1.2.2
glx-alternative-nvidia 1.2.2
glx-diversions 1.2.2
gnome-accessibility-themes 3.28-2
gnome-desktop3-data 43.2-2
gnome-icon-theme 3.12.0-5
gnome-keyring 42.1-1+b1
gnome-keyring-pkcs11:amd64 42.1-1+b1
gnome-settings-daemon 43.0-4
gnome-settings-daemon-common 43.0-4
gnome-shell-common 44.0-2
gnome-terminal 3.44.1-1kali1
gnome-terminal-data 3.44.1-1kali1
gnome-themes-extra:amd64 3.28-2
